move_const	move_name	type	category	power	accuracy	pp	priority	effect	target	flags	description	source_file	source_line	confidence
MOVE_UPROAR	Uproar	TYPE_NORMAL	SPECIAL	90	100	10	0	EFFECT_UPROAR	RANDOM	soundMove	Causes an uproar for 2 to 5  Causes an uproar for 3  turns and prevents sleep.	src/data/moves_info.h	6372	Measured
MOVE_STOCKPILE	Stockpile	TYPE_NORMAL	STATUS	0	0	20	0	EFFECT_STOCKPILE	USER	ignoresProtect	Charges up power for up to  3 turns.	src/data/moves_info.h	6405	Measured
MOVE_SPIT_UP	Spit Up	TYPE_NORMAL	SPECIAL	1	100	10	0	EFFECT_SPIT_UP	SELECTED	NONE	Releases stockpiled power  (the more the better).	src/data/moves_info.h	6430	Measured
MOVE_SWALLOW	Swallow	TYPE_NORMAL	STATUS	0	0	10	0	EFFECT_SWALLOW	USER	ignoresProtect,healingMove	Absorbs stockpiled power  and restores HP.	src/data/moves_info.h	6452	Measured
MOVE_HEAT_WAVE	Heat Wave	TYPE_FIRE	SPECIAL	95	90	10	0	EFFECT_HIT	BOTH	windMove	Exhales a hot breath on the  foe. May inflict a burn.	src/data/moves_info.h	6478	Measured
MOVE_HAIL	Hail	TYPE_ICE	STATUS	0	0	10	0	EFFECT_HAIL	ALL_BATTLERS	ignoresProtect	Summons a hailstorm that  strikes every turn.	src/data/moves_info.h	6504	Measured
MOVE_TORMENT	Torment	TYPE_DARK	STATUS	0	100	15	0	EFFECT_TORMENT	SELECTED	NONE	Torments the foe and stops  successive use of a move.	src/data/moves_info.h	6528	Measured
MOVE_FLATTER	Flatter	TYPE_DARK	STATUS	0	100	15	0	EFFECT_FLATTER	SELECTED	NONE	Confuses the foe, but  raises its Sp. Atk.	src/data/moves_info.h	6551	Measured
MOVE_WILL_O_WISP	Will-O-Wisp	TYPE_FIRE	STATUS	0	85	15	0	EFFECT_WILL_O_WISP	SELECTED	NONE	Inflicts a burn on the foe  with intense fire.	src/data/moves_info.h	6574	Measured
MOVE_MEMENTO	Memento	TYPE_DARK	STATUS	0	100	10	0	EFFECT_MEMENTO	SELECTED	NONE	The user faints and lowers  the foe's abilities.	src/data/moves_info.h	6597	Measured
MOVE_FACADE	Facade	TYPE_NORMAL	PHYSICAL	70	100	20	0	EFFECT_FACADE	SELECTED	makesContact	Boosts Attack when burned,  paralyzed, or poisoned.	src/data/moves_info.h	6619	Measured
MOVE_FOCUS_PUNCH	Focus Punch	TYPE_FIGHTING	PHYSICAL	150	100	20	-3	EFFECT_FOCUS_PUNCH	SELECTED	makesContact,punchingMove	A powerful loyalty attack.  The user flinches if hit.	src/data/moves_info.h	6641	Measured
MOVE_SMELLING_SALTS	Smelling Salts	TYPE_NORMAL	PHYSICAL	70	100	10	0	EFFECT_DOUBLE_POWER_ON_ARG_STATUS	SELECTED	makesContact	Powerful against paralyzed  foes, but also heals them.	src/data/moves_info.h	6671	Measured
MOVE_FOLLOW_ME	Follow Me	TYPE_NORMAL	STATUS	0	100	20	2	EFFECT_FOLLOW_ME	USER	ignoresProtect	Draws attention to make  foes attack only the user.	src/data/moves_info.h	6697	Measured
MOVE_NATURE_POWER	Nature Power	TYPE_NORMAL	STATUS	1	0	20	0	EFFECT_NATURE_POWER	DEPENDS	NONE	The type of attack varies  depending on the location.	src/data/moves_info.h	6724	Measured
MOVE_CHARGE	Charge	TYPE_ELECTRIC	STATUS	0	100	20	0	EFFECT_CHARGE	USER	ignoresProtect	Charges power to boost the  electric move used next.	src/data/moves_info.h	6752	Measured
MOVE_TAUNT	Taunt	TYPE_DARK	STATUS	0	100	20	0	EFFECT_TAUNT	SELECTED	ignoresSubstitute	Taunts the foe into only  using attack moves.	src/data/moves_info.h	6777	Measured
MOVE_HELPING_HAND	Helping Hand	TYPE_NORMAL	STATUS	0	100	20	5	EFFECT_HELPING_HAND	B_UPDATED_MOVE_DATA >= GEN_4 ? ALLY : USER	ignoresProtect,ignoresSubstitute	Boosts the power of the  recipient's moves.	src/data/moves_info.h	6801	Measured
MOVE_TRICK	Trick	TYPE_PSYCHIC	STATUS	0	100	10	0	EFFECT_TRICK	SELECTED	NONE	Tricks the foe into trading  held items.	src/data/moves_info.h	6829	Measured
MOVE_ROLE_PLAY	Role Play	TYPE_PSYCHIC	STATUS	0	0	10	0	EFFECT_ROLE_PLAY	SELECTED	ignoresProtect,ignoresSubstitute	Mimics the target and  copies its special ability.	src/data/moves_info.h	6854	Measured
MOVE_WISH	Wish	TYPE_NORMAL	STATUS	0	0	10	0	EFFECT_WISH	USER	ignoresProtect,healingMove	A wish that restores HP.  It takes time to work.	src/data/moves_info.h	6879	Measured
MOVE_ASSIST	Assist	TYPE_NORMAL	STATUS	0	100	20	0	EFFECT_ASSIST	DEPENDS	ignoresProtect	Attacks randomly with one  of the partner's moves.	src/data/moves_info.h	6905	Measured
MOVE_INGRAIN	Ingrain	TYPE_GRASS	STATUS	0	100	20	0	EFFECT_INGRAIN	USER	ignoresProtect	Lays roots that restore HP.  The user can't switch out.	src/data/moves_info.h	6935	Measured
MOVE_SUPERPOWER	Superpower	TYPE_FIGHTING	PHYSICAL	120	100	5	0	EFFECT_HIT	SELECTED	makesContact	A strong attack but lowers  Attack and Defense.	src/data/moves_info.h	6961	Measured
MOVE_MAGIC_COAT	Magic Coat	TYPE_PSYCHIC	STATUS	0	100	15	4	EFFECT_MAGIC_COAT	DEPENDS	ignoresProtect	Reflects special effects  back to the attacker.	src/data/moves_info.h	6987	Measured
MOVE_RECYCLE	Recycle	TYPE_NORMAL	STATUS	0	100	10	0	EFFECT_RECYCLE	USER	ignoresProtect	Recycles a used item for  one more use.	src/data/moves_info.h	7011	Measured
MOVE_REVENGE	Revenge	TYPE_FIGHTING	PHYSICAL	60	100	10	-4	EFFECT_REVENGE	SELECTED	makesContact	NONE	src/data/moves_info.h	7036	Measured
MOVE_BRICK_BREAK	Brick Break	TYPE_FIGHTING	PHYSICAL	75	100	15	0	EFFECT_BRICK_BREAK	SELECTED	makesContact	Destroys barriers such as  REFLECT and causes damage.	src/data/moves_info.h	7056	Measured
MOVE_YAWN	Yawn	TYPE_NORMAL	STATUS	0	0	10	0	EFFECT_YAWN	SELECTED	NONE	Lulls the foe into yawning,  then sleeping next turn.	src/data/moves_info.h	7078	Measured
MOVE_KNOCK_OFF	Knock Off	TYPE_DARK	PHYSICAL	65	100	20	0	EFFECT_KNOCK_OFF	SELECTED	makesContact	Knocks down the foe's held  item to prevent its use.	src/data/moves_info.h	7101	Measured
MOVE_ENDEAVOR	Endeavor	TYPE_NORMAL	PHYSICAL	1	100	5	0	EFFECT_ENDEAVOR	SELECTED	makesContact	Gains power if the user's HP  is lower than the foe's HP.	src/data/moves_info.h	7126	Measured
MOVE_ERUPTION	Eruption	TYPE_FIRE	SPECIAL	150	100	5	0	EFFECT_POWER_BASED_ON_USER_HP	BOTH	NONE	The higher the user's HP,  the more damage caused.	src/data/moves_info.h	7149	Measured
MOVE_SKILL_SWAP	Skill Swap	TYPE_PSYCHIC	STATUS	0	0	10	0	EFFECT_SKILL_SWAP	SELECTED	ignoresSubstitute	The user swaps special  abilities with the target.	src/data/moves_info.h	7170	Measured
MOVE_IMPRISON	Imprison	TYPE_PSYCHIC	STATUS	0	100	10	0	EFFECT_IMPRISON	USER	ignoresProtect,ignoresSubstitute	Prevents foes from using  moves known by the user.	src/data/moves_info.h	7193	Measured
MOVE_REFRESH	Refresh	TYPE_NORMAL	STATUS	0	100	20	0	EFFECT_REFRESH	USER	ignoresProtect	Heals poisoning, paralysis,  or a burn.	src/data/moves_info.h	7220	Measured
MOVE_GRUDGE	Grudge	TYPE_GHOST	STATUS	0	100	5	0	EFFECT_GRUDGE	USER	ignoresProtect,ignoresSubstitute	If the user faints, deletes  all PP of foe's last move.	src/data/moves_info.h	7245	Measured
MOVE_SNATCH	Snatch	TYPE_DARK	STATUS	0	100	10	4	EFFECT_SNATCH	DEPENDS	ignoresSubstitute	Steals the effects of the  move the target uses next.	src/data/moves_info.h	7270	Measured
MOVE_SECRET_POWER	Secret Power	TYPE_NORMAL	PHYSICAL	70	100	20	0	EFFECT_HIT	SELECTED	NONE	An attack with effects  that vary by location.	src/data/moves_info.h	7297	Measured
MOVE_DIVE	Dive	TYPE_WATER	PHYSICAL	80	100	10	0	EFFECT_SEMI_INVULNERABLE	SELECTED	makesContact	Dives underwater the first  turn and strikes next turn.	src/data/moves_info.h	7322	Measured
MOVE_ARM_THRUST	Arm Thrust	TYPE_FIGHTING	PHYSICAL	25	100	20	0	EFFECT_MULTI_HIT	SELECTED	makesContact	Straight-arm punches that  strike the foe 2 to 5 times.	src/data/moves_info.h	7349	Measured
MOVE_CAMOUFLAGE	Camouflage	TYPE_NORMAL	STATUS	0	100	20	0	EFFECT_CAMOUFLAGE	USER	ignoresProtect	Alters the Pokémon's type  depending on the location.	src/data/moves_info.h	7371	Measured
MOVE_TAIL_GLOW	Tail Glow	TYPE_BUG	STATUS	0	0	20	0	B_UPDATED_MOVE_DATA >= GEN_5 ? EFFECT_SPECIAL_ATTACK_UP_3 : EFFECT_SPECIAL_ATTACK_UP_2	USER	ignoresProtect	Flashes a light that sharply  raises Sp. Atk.	src/data/moves_info.h	7396	Measured
MOVE_LUSTER_PURGE	Luster Purge	TYPE_PSYCHIC	SPECIAL	85	100	10	0	EFFECT_HIT	SELECTED	NONE	Attacks with a burst of  light. May lower Sp. Def.	src/data/moves_info.h	7421	Measured
MOVE_MIST_BALL	Mist Ball	TYPE_PSYCHIC	SPECIAL	85	100	10	0	EFFECT_HIT	SELECTED	ballisticMove	Attacks with a flurry of  down. May lower Sp. Atk.	src/data/moves_info.h	7446	Measured
MOVE_FEATHER_DANCE	Feather Dance	TYPE_FLYING	STATUS	0	100	5	0	EFFECT_ATTACK_DOWN_2	SELECTED	danceMove	Envelops the foe with down  to sharply reduce Attack.	src/data/moves_info.h	7472	Measured
MOVE_TEETER_DANCE	Teeter Dance	TYPE_NORMAL	STATUS	0	100	20	0	EFFECT_CONFUSE	FOES_AND_ALLY	danceMove	Confuses all Pokémon on  the scene.	src/data/moves_info.h	7496	Measured
MOVE_BLAZE_KICK	Blaze Kick	TYPE_FIRE	PHYSICAL	85	100	10	0	EFFECT_HIT	SELECTED	makesContact,kickingMove,criticalHitStage:1	A kick with a high critical-  hit ratio. May cause a burn.	src/data/moves_info.h	7520	Measured
MOVE_MUD_SPORT	Mud Sport	TYPE_GROUND	STATUS	0	100	15	0	EFFECT_MUD_SPORT	ALL_BATTLERS	ignoresProtect	Covers the user in mud to  raise electrical resistance.	src/data/moves_info.h	7548	Measured
MOVE_ICE_BALL	Ice Ball	TYPE_ICE	PHYSICAL	30	90	20	0	EFFECT_ROLLOUT	SELECTED	makesContact,ballisticMove	A 5-turn attack that gains  power on successive hits.	src/data/moves_info.h	7573	Measured
MOVE_NEEDLE_ARM	Needle Arm	TYPE_GRASS	PHYSICAL	95	100	15	0	EFFECT_HIT	SELECTED	makesContact	Attacks with thorny arms.  May cause flinching.	src/data/moves_info.h	7598	Measured
MOVE_SLACK_OFF	Slack Off	TYPE_NORMAL	STATUS	0	100	5	0	EFFECT_RESTORE_HP	USER	ignoresProtect,healingMove	Slacks off and restores  half the maximum HP.	src/data/moves_info.h	7625	Measured
MOVE_HYPER_VOICE	Hyper Voice	TYPE_NORMAL	SPECIAL	90	100	10	0	EFFECT_HIT	BOTH	soundMove	A loud attack that uses  sound waves to injure.	src/data/moves_info.h	7651	Measured
MOVE_POISON_FANG	Poison Fang	TYPE_POISON	PHYSICAL	75	100	15	0	EFFECT_HIT	SELECTED	makesContact,bitingMove	A sharp-fanged attack.  May Toxic the foe.	src/data/moves_info.h	7674	Measured
MOVE_CRUSH_CLAW	Crush Claw	TYPE_NORMAL	PHYSICAL	75	100	10	0	EFFECT_HIT	SELECTED	makesContact	Tears at the foe with sharp  claws. May lower Defense.	src/data/moves_info.h	7701	Measured
MOVE_BLAST_BURN	Blast Burn	TYPE_FIRE	SPECIAL	160	100	5	0	EFFECT_HIT	SELECTED	NONE	Powerful, but leaves the  user immobile the next turn.	src/data/moves_info.h	7727	Measured
MOVE_HYDRO_CANNON	Hydro Cannon	TYPE_WATER	SPECIAL	160	100	5	0	EFFECT_HIT	SELECTED	NONE	Powerful, but leaves the  user immobile the next turn.	src/data/moves_info.h	7752	Measured
MOVE_METEOR_MASH	Meteor Mash	TYPE_STEEL	PHYSICAL	90	90	10	0	EFFECT_HIT	SELECTED	makesContact,punchingMove	Fires a meteor-like punch.  May raise Attack.	src/data/moves_info.h	7777	Measured
MOVE_ASTONISH	Astonish	TYPE_GHOST	PHYSICAL	30	100	15	0	EFFECT_HIT	SELECTED	makesContact	An attack that may shock  the foe into flinching.	src/data/moves_info.h	7805	Measured
MOVE_WEATHER_BALL	Weather Ball	TYPE_NORMAL	SPECIAL	50	100	10	0	EFFECT_WEATHER_BALL	SELECTED	ballisticMove	The move's type and power  change with the weather.	src/data/moves_info.h	7832	Measured
MOVE_AROMATHERAPY	Aromatherapy	TYPE_GRASS	STATUS	0	0	5	0	EFFECT_HEAL_BELL	USER	ignoresProtect	Heals all status problems  with a soothing scent.	src/data/moves_info.h	7855	Measured
MOVE_FAKE_TEARS	Fake Tears	TYPE_DARK	STATUS	0	100	20	0	EFFECT_SPECIAL_DEFENSE_DOWN_2	SELECTED	NONE	Feigns crying to sharply  lower the foe's Sp. Def.	src/data/moves_info.h	7880	Measured
MOVE_AIR_CUTTER	Air Cutter	TYPE_FLYING	SPECIAL	60	100	25	0	EFFECT_HIT	BOTH	slicingMove,windMove,criticalHitStage:1	Hacks with razorlike wind.  High critical-hit ratio.	src/data/moves_info.h	7903	Measured
MOVE_OVERHEAT	Overheat	TYPE_FIRE	SPECIAL	130	100	5	0	EFFECT_HIT	SELECTED	NONE	Allows a full-power attack,  but sharply lowers Sp. Atk.	src/data/moves_info.h	7927	Measured
MOVE_ODOR_SLEUTH	Odor Sleuth	TYPE_NORMAL	STATUS	0	0	40	0	EFFECT_FORESIGHT	SELECTED	ignoresSubstitute	Negates the foe's efforts  to heighten evasiveness.	src/data/moves_info.h	7953	Measured
MOVE_ROCK_TOMB	Rock Tomb	TYPE_ROCK	PHYSICAL	60	100	15	0	EFFECT_HIT	SELECTED	NONE	Stops the foe from moving  with rocks and cuts Speed.	src/data/moves_info.h	7977	Measured
MOVE_SILVER_WIND	Silver Wind	TYPE_BUG	SPECIAL	60	100	5	0	EFFECT_HIT	SELECTED	NONE	A powdery attack that may  raise abilities.	src/data/moves_info.h	8002	Measured
MOVE_METAL_SOUND	Metal Sound	TYPE_STEEL	STATUS	0	85	40	0	EFFECT_SPECIAL_DEFENSE_DOWN_2	SELECTED	soundMove	Emits a horrible screech  that sharply lowers Sp. Def.	src/data/moves_info.h	8029	Measured
MOVE_GRASS_WHISTLE	Grass Whistle	TYPE_GRASS	STATUS	0	55	15	0	EFFECT_SLEEP	SELECTED	soundMove	Lulls the foe into sleep  with a pleasant melody.	src/data/moves_info.h	8054	Measured
MOVE_TICKLE	Tickle	TYPE_NORMAL	STATUS	0	100	20	0	EFFECT_TICKLE	SELECTED	NONE	Makes the foe laugh to  lower Attack and Defense.	src/data/moves_info.h	8079	Measured
MOVE_COSMIC_POWER	Cosmic Power	TYPE_PSYCHIC	STATUS	0	0	20	0	EFFECT_COSMIC_POWER	USER	ignoresProtect	Raises Defense and Sp. Def  with a mystic power.	src/data/moves_info.h	8102	Measured
MOVE_WATER_SPOUT	Water Spout	TYPE_WATER	SPECIAL	150	100	5	0	EFFECT_POWER_BASED_ON_USER_HP	BOTH	NONE	Inflicts more damage if the  user's HP is high.	src/data/moves_info.h	8127	Measured
MOVE_SIGNAL_BEAM	Signal Beam	TYPE_BUG	SPECIAL	75	100	15	0	EFFECT_HIT	SELECTED	NONE	A strange beam attack that  may confuse the foe.	src/data/moves_info.h	8148	Measured
MOVE_SHADOW_PUNCH	Shadow Punch	TYPE_GHOST	PHYSICAL	80	0	20	0	EFFECT_HIT	SELECTED	makesContact,punchingMove	An unavoidable punch that  is thrown from shadows.	src/data/moves_info.h	8173	Measured
MOVE_EXTRASENSORY	Extrasensory	TYPE_PSYCHIC	SPECIAL	80	100	20	0	EFFECT_HIT	SELECTED	NONE	Attacks with a peculiar  power. May cause flinching.	src/data/moves_info.h	8196	Measured
MOVE_SKY_UPPERCUT	Sky Uppercut	TYPE_FIGHTING	PHYSICAL	85	100	15	0	EFFECT_HIT	SELECTED	makesContact,punchingMove	An uppercut thrown as if  leaping into the sky.	src/data/moves_info.h	8222	Measured
MOVE_SAND_TOMB	Sand Tomb	TYPE_GROUND	PHYSICAL	35	85	15	0	EFFECT_HIT	SELECTED	NONE	Traps and hurts the foe in  quicksand for   turns.	src/data/moves_info.h	8246	Measured
MOVE_SHEER_COLD	Sheer Cold	TYPE_ICE	SPECIAL	1	30	5	0	EFFECT_OHKO	SELECTED	NONE	A chilling attack that  causes fainting if it hits.	src/data/moves_info.h	8270	Measured
MOVE_MUDDY_WATER	Muddy Water	TYPE_WATER	SPECIAL	95	85	10	0	EFFECT_HIT	BOTH	NONE	Attacks with muddy water.  May lower accuracy.	src/data/moves_info.h	8291	Measured
MOVE_BULLET_SEED	Bullet Seed	TYPE_GRASS	PHYSICAL	25	100	30	0	EFFECT_MULTI_HIT	SELECTED	ballisticMove	Shoots 2 to 5 seeds in a row  to strike the foe.	src/data/moves_info.h	8317	Measured
MOVE_AERIAL_ACE	Aerial Ace	TYPE_FLYING	PHYSICAL	60	0	20	0	EFFECT_HIT	SELECTED	makesContact,slicingMove	An extremely speedy and  unavoidable attack.	src/data/moves_info.h	8339	Measured
MOVE_ICICLE_SPEAR	Icicle Spear	TYPE_ICE	PHYSICAL	25	100	30	0	EFFECT_MULTI_HIT	SELECTED	NONE	Attacks the foe by firing  2 to 5 icicles in a row.	src/data/moves_info.h	8362	Measured
MOVE_IRON_DEFENSE	Iron Defense	TYPE_STEEL	STATUS	0	0	15	0	EFFECT_DEFENSE_UP_2	USER	ignoresProtect	Hardens the body's surface  to sharply raise Defense.	src/data/moves_info.h	8383	Measured
MOVE_BLOCK	Block	TYPE_NORMAL	STATUS	0	0	5	0	EFFECT_MEAN_LOOK	SELECTED	NONE	Blocks the foe's way to  prevent escape.	src/data/moves_info.h	8408	Measured
MOVE_HOWL	Howl	TYPE_NORMAL	STATUS	0	0	40	0	B_UPDATED_MOVE_DATA >= GEN_8 ? EFFECT_ATTACK_UP_USER_ALLY : EFFECT_ATTACK_UP	USER, // Targeting is handled through the script	ignoresProtect	Howls to raise the spirit  and boosts Attack.	src/data/moves_info.h	8432	Measured
MOVE_DRAGON_CLAW	Dragon Claw	TYPE_DRAGON	PHYSICAL	80	100	15	0	EFFECT_HIT	SELECTED	makesContact	Slashes the foe with sharp  claws.	src/data/moves_info.h	8458	Measured
MOVE_FRENZY_PLANT	Frenzy Plant	TYPE_GRASS	SPECIAL	160	100	5	0	EFFECT_HIT	SELECTED	NONE	Powerful, but leaves the  user immobile the next turn.	src/data/moves_info.h	8480	Measured
MOVE_BULK_UP	Bulk Up	TYPE_FIGHTING	STATUS	0	0	20	0	EFFECT_BULK_UP	USER	ignoresProtect	Bulks up the body to boost  both Attack and Defense.	src/data/moves_info.h	8506	Measured
MOVE_BOUNCE	Bounce	TYPE_FLYING	PHYSICAL	85	85	5	0	EFFECT_SEMI_INVULNERABLE	SELECTED	makesContact,gravityBanned	Bounces up, then down the  next turn. May paralyze.	src/data/moves_info.h	8531	Measured
MOVE_MUD_SHOT	Mud Shot	TYPE_GROUND	SPECIAL	55	100	15	0	EFFECT_HIT	SELECTED	NONE	Hurls mud at the foe and  reduces Speed.	src/data/moves_info.h	8562	Measured
MOVE_POISON_TAIL	Poison Tail	TYPE_POISON	PHYSICAL	60	100	25	0	EFFECT_HIT	SELECTED	makesContact,criticalHitStage:1	Has a high critical-hit  ratio. May also poison.	src/data/moves_info.h	8587	Measured
MOVE_COVET	Covet	TYPE_FAIRY	PHYSICAL	60	100	25	0	EFFECT_HIT	SELECTED	NONE	Cutely begs to obtain an  item held by the foe.	src/data/moves_info.h	8614	Measured
MOVE_VOLT_TACKLE	Volt Tackle	TYPE_ELECTRIC	PHYSICAL	120	100	15	0	EFFECT_HIT	SELECTED	makesContact,recoil:33	A life-risking tackle that  slightly hurts the user.	src/data/moves_info.h	8643	Measured
MOVE_MAGICAL_LEAF	Magical Leaf	TYPE_GRASS	SPECIAL	60	0	20	0	EFFECT_HIT	SELECTED	NONE	Attacks with a strange leaf  that cannot be evaded.	src/data/moves_info.h	8672	Measured
MOVE_WATER_SPORT	Water Sport	TYPE_WATER	STATUS	0	100	15	0	EFFECT_WATER_SPORT	ALL_BATTLERS	ignoresProtect	The user becomes soaked to  raise resistance to fire.	src/data/moves_info.h	8693	Measured
MOVE_CALM_MIND	Calm Mind	TYPE_PSYCHIC	STATUS	0	0	20	0	EFFECT_CALM_MIND	USER	ignoresProtect	Raises Sp. Atk and Sp. Def  by focusing the mind.	src/data/moves_info.h	8718	Measured
MOVE_LEAF_BLADE	Leaf Blade	TYPE_GRASS	PHYSICAL	90	100	15	0	EFFECT_HIT	SELECTED	makesContact,slicingMove,criticalHitStage:1	Slashes with a sharp leaf.  High critical-hit ratio.	src/data/moves_info.h	8743	Measured
MOVE_DRAGON_DANCE	Dragon Dance	TYPE_DRAGON	STATUS	0	0	20	0	EFFECT_DRAGON_DANCE	USER	ignoresProtect,danceMove	A mystical dance that ups  Attack and Speed.	src/data/moves_info.h	8767	Measured
MOVE_ROCK_BLAST	Rock Blast	TYPE_ROCK	PHYSICAL	25	100	10	0	EFFECT_MULTI_HIT	SELECTED	NONE	Hurls boulders at the foe  2 to 5 times in a row.	src/data/moves_info.h	8793	Measured
MOVE_SHOCK_WAVE	Shock Wave	TYPE_ELECTRIC	SPECIAL	60	0	20	0	EFFECT_HIT	SELECTED	NONE	A fast and unavoidable  electric attack.	src/data/moves_info.h	8815	Measured
MOVE_WATER_PULSE	Water Pulse	TYPE_WATER	SPECIAL	60	100	20	0	EFFECT_HIT	SELECTED	pulseMove	Attacks with ultrasonic  waves. May confuse the foe.	src/data/moves_info.h	8836	Measured
MOVE_DOOM_DESIRE	Doom Desire	TYPE_STEEL	SPECIAL	140	100	5	0	EFFECT_FUTURE_SIGHT	SELECTED	ignoresProtect	Summons strong sunlight to  attack 2 turns later.	src/data/moves_info.h	8862	Measured
MOVE_PSYCHO_BOOST	Psycho Boost	TYPE_PSYCHIC	SPECIAL	140	100	5	0	EFFECT_HIT	SELECTED	NONE	Allows a full-power attack,  but sharply lowers Sp. Atk.	src/data/moves_info.h	8885	Measured
MOVE_ROOST	Roost	TYPE_FLYING	STATUS	0	0	5	0	EFFECT_ROOST	USER	ignoresProtect,healingMove	Restores the user's HP by  half of its max HP.	src/data/moves_info.h	8910	Measured
MOVE_GRAVITY	Gravity	TYPE_PSYCHIC	STATUS	0	0	5	0	EFFECT_GRAVITY	ALL_BATTLERS	ignoresProtect	Gravity is intensified  negating levitation.	src/data/moves_info.h	8936	Measured
MOVE_MIRACLE_EYE	Miracle Eye	TYPE_PSYCHIC	STATUS	0	0	40	0	EFFECT_MIRACLE_EYE	SELECTED	ignoresSubstitute	Negate evasiveness and  Dark-type's immunities.	src/data/moves_info.h	8961	Measured
MOVE_WAKE_UP_SLAP	Wake-Up Slap	TYPE_FIGHTING	PHYSICAL	70	100	10	0	EFFECT_DOUBLE_POWER_ON_ARG_STATUS	SELECTED	makesContact	Powerful against sleeping  foes, but also heals them.	src/data/moves_info.h	8985	Measured
MOVE_HAMMER_ARM	Hammer Arm	TYPE_FIGHTING	PHYSICAL	100	100	10	0	EFFECT_HIT	SELECTED	makesContact,punchingMove	A swinging fist attack  that also lowers Speed.	src/data/moves_info.h	9011	Measured
MOVE_GYRO_BALL	Gyro Ball	TYPE_STEEL	PHYSICAL	1	100	5	0	EFFECT_GYRO_BALL	SELECTED	makesContact,ballisticMove	A high-speed spin that does  more damage to faster foes.	src/data/moves_info.h	9038	Measured
MOVE_HEALING_WISH	Healing Wish	TYPE_PSYCHIC	STATUS	0	0	10	0	EFFECT_HEALING_WISH	USER	ignoresProtect,healingMove	NONE	src/data/moves_info.h	9061	Measured
MOVE_BRINE	Brine	TYPE_WATER	SPECIAL	65	100	10	0	EFFECT_BRINE	SELECTED	NONE	Does double damage to foes  with half HP.	src/data/moves_info.h	9084	Measured
MOVE_NATURAL_GIFT	Natural Gift	TYPE_NORMAL	PHYSICAL	1	100	15	0	EFFECT_NATURAL_GIFT	SELECTED	NONE	The effectiveness varies  with the held Berry.	src/data/moves_info.h	9105	Measured
MOVE_FEINT	Feint	TYPE_NORMAL	PHYSICAL	30	100	10	2	EFFECT_HIT	SELECTED	ignoresProtect	NONE	src/data/moves_info.h	9126	Measured
MOVE_PLUCK	Pluck	TYPE_FLYING	PHYSICAL	60	100	20	0	EFFECT_HIT	SELECTED	makesContact	NONE	src/data/moves_info.h	9153	Measured
MOVE_TAILWIND	Tailwind	TYPE_FLYING	STATUS	0	0	15	0	EFFECT_TAILWIND	USER	ignoresProtect,windMove	Whips up a turbulent breeze  that raises Speed.	src/data/moves_info.h	9176	Measured
MOVE_ACUPRESSURE	Acupressure	TYPE_NORMAL	STATUS	0	0	30	0	EFFECT_ACUPRESSURE	USER | ALLY	ignoresProtect	The user sharply raises  one of its stats.	src/data/moves_info.h	9202	Measured
MOVE_METAL_BURST	Metal Burst	TYPE_STEEL	PHYSICAL	1	100	10	0	EFFECT_METAL_BURST	DEPENDS	NONE	Retaliates any hit with  greater power.	src/data/moves_info.h	9227	Measured
MOVE_U_TURN	U-turn	TYPE_BUG	PHYSICAL	70	100	20	0	EFFECT_HIT_ESCAPE	SELECTED	makesContact	NONE	src/data/moves_info.h	9249	Measured
MOVE_CLOSE_COMBAT	Close Combat	TYPE_FIGHTING	PHYSICAL	120	100	5	0	EFFECT_HIT	SELECTED	makesContact	NONE	src/data/moves_info.h	9269	Measured
MOVE_PAYBACK	Payback	TYPE_DARK	PHYSICAL	50	100	10	0	EFFECT_PAYBACK	SELECTED	makesContact	An attack that gains power  if the user moves last.	src/data/moves_info.h	9293	Measured
MOVE_ASSURANCE	Assurance	TYPE_DARK	PHYSICAL	60	100	10	0	EFFECT_ASSURANCE	SELECTED	makesContact	An attack that gains power  if the foe has been hurt.	src/data/moves_info.h	9315	Measured
MOVE_EMBARGO	Embargo	TYPE_DARK	STATUS	0	100	15	0	EFFECT_EMBARGO	SELECTED	NONE	Prevents the foe from  using any items.	src/data/moves_info.h	9337	Measured
MOVE_FLING	Fling	TYPE_DARK	PHYSICAL	1	100	10	0	EFFECT_FLING	SELECTED	NONE	The effectiveness varies  with the held item.	src/data/moves_info.h	9360	Measured
MOVE_PSYCHO_SHIFT	Psycho Shift	TYPE_PSYCHIC	STATUS	0	100	10	0	EFFECT_PSYCHO_SHIFT	SELECTED	NONE	Transfers status problems  to the foe.	src/data/moves_info.h	9382	Measured
MOVE_TRUMP_CARD	Trump Card	TYPE_NORMAL	SPECIAL	1	0	5	0	EFFECT_TRUMP_CARD	SELECTED	makesContact	The less PP the move has  the more damage it does.	src/data/moves_info.h	9404	Measured
MOVE_HEAL_BLOCK	Heal Block	TYPE_PSYCHIC	STATUS	0	100	15	0	EFFECT_HEAL_BLOCK	BOTH	NONE	Prevents the foe from  recovering any HP.	src/data/moves_info.h	9426	Measured
MOVE_WRING_OUT	Wring Out	TYPE_NORMAL	SPECIAL	120	100	5	0	EFFECT_POWER_BASED_ON_TARGET_HP	SELECTED	makesContact	NONE	src/data/moves_info.h	9449	Measured
