species_const	species_name	checkpoint	primary_role	hybrid_role	top3	ceiling_fit	floor_fit	replacement_fit	vorp	tier	investment_delta	S	T	Y	F	track	ability	nature	item	item_reliable	moves	bst	earliest_cp	availability_confidence	entry_reason	matrix_score	confidence	item_dependence	unreliable_best_item	cant_miss
SPECIES_IRON_VALIANT	Iron Valiant	13	mixed_attacker	wallbreaker_spec	mixed_attacker:0.8393;wallbreaker_spec:0.8389;revenge_killer:0.6709	0.8393	0.7884	0.8643	-0.025	D	0.0509	0.941	1.0	1.0	0.635	mixed	ABILITY_QUARK_DRIVE	Naive	ITEM_BLACK_BELT	TRUE	Close Combat,Focus Blast,Moonblast,Future Sight	590	15	Asserted	wild	0.3333	Derived	0.0271	ITEM_LIFE_ORB	FALSE
SPECIES_LUCARIO_MEGA	Lucario-Mega	13	mixed_attacker	NA	mixed_attacker:0.8371;revenge_killer:0.654;tank:0.6229	0.8371	0.9345	0.8643	-0.0272	D	-0.0974	0.982	1.0	0.917	0.635	mixed	ABILITY_ADAPTABILITY	Naive	ITEM_BLACK_BELT	TRUE	Focus Punch,Steel Beam,Focus Blast,Iron Tail	625	17	Inferred	mega/primal form of SPECIES_LUCARIO (stone not resolved)	0.3056	Derived	0.0636	ITEM_CHOICE_BAND	FALSE
SPECIES_WEEZING	Weezing	13	mixed_attacker	wallbreaker_spec	mixed_attacker:0.8351;wallbreaker_spec:0.7989;wallbreaker_phys:0.7979	0.8351	0.6891	0.8643	-0.0292	D	0.146	0.717	1.0	1.0	0.765	mixed	ABILITY_LEVITATE	Naive	ITEM_MAGNET	TRUE	Belch,Gunk Shot,Explosion,Thunder	490	7	Derived	evolution:EVO_LEVEL_DAY@35:from SPECIES_KOFFING	0.3611	Derived	0.0204	ITEM_LIFE_ORB	FALSE
SPECIES_FLAPPLE_MEGA	Flapple-Mega	13	mixed_attacker	NA	mixed_attacker:0.7981;revenge_killer:0.6425;tank:0.5984	0.7981	0.7105	0.8643	-0.0662	D	0.0876	0.976	0.75	1.0	0.635	mixed	ABILITY_DRAGONS_MAW	Hasty	ITEM_DRAGON_FANG	TRUE	Draco Meteor,Outrage,Solar Beam,Grav Apple	615	11	Inferred	mega/primal form of SPECIES_FLAPPLE (stone not resolved)	0.3333	Derived	0.1026	ITEM_LIFE_ORB	FALSE
SPECIES_SEVIPER	Seviper	13	mixed_attacker	wallbreaker_spec	mixed_attacker:0.7951;wallbreaker_spec:0.7657;wallbreaker_phys:0.7511	0.7951	0.8462	0.8643	-0.0692	D	-0.0511	0.814	1.0	0.917	0.635	mixed	ABILITY_MERCILESS	Naive	ITEM_MIRACLE_SEED	TRUE	Belch,Gunk Shot,Wring Out,Power Whip	534	7	Asserted	wild	0.3056	Derived	0.1161	ITEM_CHOICE_BAND	FALSE
SPECIES_SKUNTANK	Skuntank	13	mixed_attacker	NA	mixed_attacker:0.7723;tank:0.6899	0.7723	0.7985	0.8643	-0.092	D	-0.0262	0.763	0.75	1.0	0.704	mixed	ABILITY_STENCH	Hasty	ITEM_BLACK_GLASSES	TRUE	Belch,Dark Hole,Foul Play,Poison Jab	499	7	Derived	evolution:EVO_LEVEL@28:from SPECIES_STUNKY	0.3333	Derived	0.0985	ITEM_CHOICE_SPECS	FALSE
SPECIES_FLOATZEL	Floatzel	13	mixed_attacker	NA	mixed_attacker:0.7556;revenge_killer:0.6314;tank:0.6177	0.7556	0.6177	0.8643	-0.1087	F	0.1379	0.755	1.0	0.917	0.573	mixed	ABILITY_WATER_VEIL	Naive	ITEM_BLACK_BELT	TRUE	Wave Crash,Hydro Pump,Focus Punch,Focus Blast	490	3	Asserted	wild	0.2639	Derived	0.1373	ITEM_LIFE_ORB	FALSE
SPECIES_VICTREEBEL	Victreebel	13	mixed_attacker	NA	mixed_attacker:0.7494;tank:0.6375	0.7494	0.6779	0.8643	-0.1149	F	0.0715	0.838	1.0	0.917	0.506	mixed	ABILITY_CHLOROPHYLL	Rash	ITEM_MIRACLE_SEED	TRUE	Leaf Storm,Solar Blade,Gunk Shot,Sludge Bomb	500	11	Derived	evolution:EVO_ITEM:ITEM_LEAF_STONE	0.2778	Derived	0.0503	ITEM_LIFE_ORB	FALSE
SPECIES_SIMIPOUR	Simipour	13	mixed_attacker	NA	mixed_attacker:0.7432;tank:0.6642;revenge_killer:0.6262	0.7432	0.6938	0.8643	-0.1211	F	0.0494	0.806	0.75	0.917	0.635	mixed	ABILITY_GLUTTONY	Serious	ITEM_BLACK_BELT	TRUE	Hydro Pump,Waterfall,Focus Punch,Focus Blast	498	1	Derived	evolution:EVO_ITEM:ITEM_WATER_STONE	0.2778	Derived	0.1595	ITEM_LIFE_ORB	FALSE
SPECIES_LUCARIO	Lucario	13	mixed_attacker	NA	mixed_attacker:0.7398;tank:0.6006;revenge_killer:0.5248	0.7398	0.9073	0.8643	-0.1245	F	-0.1675	0.897	1.0	0.917	0.445	mixed	ABILITY_STEADFAST	Naive	ITEM_BLACK_BELT	TRUE	Focus Punch,Steel Beam,Focus Blast,Iron Tail	525	17	Asserted	wild	0.2222	Derived	0.0964	ITEM_LIFE_ORB	FALSE
SPECIES_SEISMITOAD	Seismitoad	13	mixed_attacker	tank	mixed_attacker:0.738;tank:0.7207	0.738	0.7207	0.8643	-0.1263	F	0.0173	0.735	1.0	0.833	0.573	mixed	ABILITY_SWIFT_SWIM	Serious	ITEM_MYSTIC_WATER	TRUE	Wave Crash,Hydro Pump,Earthquake,Earth Power	509	7	Derived	evolution:EVO_LEVEL@36:from SPECIES_PALPITOAD	0.2222	Derived	0.1136	ITEM_CHOICE_BAND	FALSE
SPECIES_DEWOTT	Dewott	13	mixed_attacker	wallbreaker_spec	mixed_attacker:0.7235;wallbreaker_spec:0.7077;wallbreaker_phys:0.6659	0.7235	0.5108	0.8643	-0.1408	F	0.2127	0.627	1.0	0.917	0.573	mixed	ABILITY_TORRENT	Naive	ITEM_METAL_COAT	TRUE	Hydro Pump,Aqua Tail,Blizzard,Iron Tail	413	2	Derived	evolution:EVO_LEVEL@16:from SPECIES_OSHAWOTT	0.25	Derived	0.0731	ITEM_LIFE_ORB	FALSE
SPECIES_POIPOLE	Poipole	13	mixed_attacker	wallbreaker_spec	mixed_attacker:0.7124;wallbreaker_spec:0.6879;wallbreaker_phys:0.6637	0.7124	0.5326	0.8643	-0.1519	F	0.1798	0.582	1.0	0.917	0.573	mixed	ABILITY_BEAST_BOOST	Rash	ITEM_DRAGON_FANG	TRUE	Gunk Shot,Sludge Wave,Draco Meteor,Iron Tail	420	15	Asserted	wild	0.3056	Derived	0.0	ITEM_LIFE_ORB	FALSE
SPECIES_CACTURNE	Cacturne	13	mixed_attacker	NA	mixed_attacker:0.6848	0.6848	0.4114	0.8643	-0.1795	F	0.2734	0.924	1.0	0.917	0.291	mixed	ABILITY_SAND_VEIL	Naive	ITEM_BLACK_GLASSES	TRUE	Solar Beam,Dark Hole,Needle Arm,Foul Play	485	6	Derived	evolution:EVO_LEVEL@28:from SPECIES_CACNEA	0.1667	Derived	0.1025	ITEM_CHOICE_SPECS	FALSE
SPECIES_FROSLASS	Froslass	13	mixed_attacker	revenge_killer	mixed_attacker:0.6457;revenge_killer:0.5967;tank:0.5449	0.6457	0.4949	0.8643	-0.2186	F	0.1508	0.773	0.5	1.0	0.506	mixed	ABILITY_ICE_BODY	Naive	ITEM_NEVER_MELT_ICE	TRUE	Blizzard,Poltergeist,Shadow Ball,Ice Spinner	510	13	Derived	evolution:EVO_ITEM_FEMALE:ITEM_DAWN_STONE	0.3056	Derived	0.1572	ITEM_LIFE_ORB	FALSE
SPECIES_PHEROMOSA	Pheromosa	13	mixed_attacker	NA	mixed_attacker:0.6352;revenge_killer:0.5174	0.6352	0.5477	0.8643	-0.2291	F	0.0875	0.976	0.75	0.833	0.291	mixed	ABILITY_BEAST_BOOST	Serious	ITEM_BLACK_BELT	TRUE	High Jump Kick,Focus Blast,Bug Buzz,Lunge	570	15	Asserted	wild	0.2361	Derived	0.2385	ITEM_CHOICE_BAND	FALSE
SPECIES_SHIFTRY	Shiftry	13	mixed_attacker	NA	mixed_attacker:0.6295;tank:0.5243	0.6295	0.5976	0.8643	-0.2348	F	0.0319	0.903	0.75	0.917	0.291	mixed	ABILITY_CHLOROPHYLL	Naive	ITEM_BLACK_GLASSES	TRUE	Leaf Storm,Solar Blade,Foul Play,Dark Pulse	520	11	Derived	evolution:EVO_ITEM:ITEM_LEAF_STONE	0.1667	Derived	0.1499	ITEM_LIFE_ORB	FALSE
SPECIES_CACNEA	Cacnea	13	mixed_attacker	wallbreaker_spec	mixed_attacker:0.5997;wallbreaker_spec:0.5691;wallbreaker_phys:0.557	0.5997	0.3628	0.8643	-0.2646	F	0.2369	0.694	1.0	0.917	0.222	mixed	ABILITY_SAND_VEIL	Rash	ITEM_BLACK_BELT	TRUE	Solar Beam,Needle Arm,Focus Punch,Belch	335	6	Asserted	wild	0.1667	Derived	0.0462	ITEM_LIFE_ORB	FALSE
SPECIES_WEEPINBELL	Weepinbell	13	mixed_attacker	NA	mixed_attacker:0.583	0.583	0.0	0.8643	-0.2813	F	0.583	0.717	0.75	0.917	0.291	mixed	ABILITY_CHLOROPHYLL	Naive	ITEM_MIRACLE_SEED	TRUE	Solar Blade,Solar Beam,Sludge Bomb,Poison Jab	390	6	Derived	evolution:EVO_LEVEL@21:from SPECIES_BELLSPROUT	0.1944	Derived	0.1122	ITEM_CHOICE_SPECS	FALSE
SPECIES_MAGBY	Magby	13	mixed_attacker	wallbreaker_spec	mixed_attacker:0.5488;wallbreaker_spec:0.5176;wallbreaker_phys:0.5066	0.5488	0.3713	0.8643	-0.3155	F	0.1775	0.565	1.0	0.917	0.175	mixed	ABILITY_FLAME_BODY	Naive	ITEM_BLACK_BELT	TRUE	Overheat,Flare Blitz,Focus Punch,Belch	365	1	Asserted	wild	0.1528	Derived	0.0518	ITEM_CHOICE_SPECS	FALSE
SPECIES_COMBUSKEN	Combusken	13	mixed_attacker	NA	mixed_attacker:0.5113	0.5113	0.0	0.8643	-0.353	F	0.5113	0.694	1.0	0.833	0.032	mixed	ABILITY_BLAZE	Naive	ITEM_BLACK_BELT	TRUE	Focus Punch,Overheat,Flare Blitz,Focus Blast	405	2	Derived	evolution:EVO_LEVEL@16:from SPECIES_TORCHIC	0.1806	Derived	0.1595	ITEM_CHOICE_SPECS	FALSE
SPECIES_TOXAPEX	Toxapex	13	mixed_wall	NA	mixed_wall:0.8561;physical_wall:0.8007;special_wall:0.7936	0.8561	0.7289	0.7492	0.1069	B	0.1272	0.781	1.0	0.5	0.959	support	ABILITY_MERCILESS	Bold	ITEM_BERRY_JUICE	TRUE	Gunk Shot,Toxic Spikes,Toxic,Recover	495	3	Asserted	wild	0.5556	Derived	0.0	NA	FALSE
SPECIES_PYUKUMUKU	Pyukumuku	13	mixed_wall	NA	mixed_wall:0.8292;special_wall:0.771;physical_wall:0.7667	0.8292	0.8266	0.7492	0.08	B	0.0026	0.776	1.0	0.333	0.958	support	ABILITY_INNARDS_OUT	Bold	ITEM_BERRY_JUICE	TRUE	Bide,Recover,Toxic,Memento	410	17	Asserted	wild	0.0833	Derived	0.0	NA	FALSE
SPECIES_DUSTOX	Dustox	13	mixed_wall	special_wall	mixed_wall:0.7697;special_wall:0.7467;status_spreader:0.7135	0.7697	0.4752	0.7492	0.0205	C	0.2945	0.637	1.0	0.167	0.958	support	ABILITY_SHIELD_DUST	Calm	ITEM_BERRY_JUICE	TRUE	Sludge Bomb,Toxic,Moonlight,Light Screen	405	1	Derived	evolution:EVO_LEVEL@10:from SPECIES_CASCOON	0.5278	Derived	0.0	NA	FALSE
SPECIES_MANDIBUZZ	Mandibuzz	13	physical_wall	NA	physical_wall:0.7883;special_wall:0.7239;mixed_wall:0.7239	0.7883	0.2803	0.5137	0.2746	S	0.508	0.968	0.75	0.167	0.954	support	ABILITY_FRISK	Bold	ITEM_BERRY_JUICE	TRUE	Brave Bird,Whirlwind,Defog,Roost	510	8	Derived	evolution:EVO_LEVEL@45:from SPECIES_VULLABY	0.5278	Derived	0.0	NA	TRUE
SPECIES_SEALEO	Sealeo	13	physical_wall	tank	physical_wall:0.7105;tank:0.6656;special_wall:0.6523	0.7105	0.6401	0.5137	0.1968	A	0.0704	0.698	0.75	0.167	0.924	support	ABILITY_THICK_FAT	Calm	ITEM_BERRY_JUICE	TRUE	Blizzard,Rest,Snowscape,Roar	410	5	Derived	evolution:EVO_LEVEL@32:from SPECIES_SPHEAL	0.3333	Derived	0.041	ITEM_LIFE_ORB	FALSE
SPECIES_SLOWPOKE_GALAR	Slowpoke-Galar	13	physical_wall	NA	physical_wall:0.7092;special_wall:0.6475;status_spreader:0.6309	0.7092	0.4109	0.5137	0.1955	A	0.2983	0.659	0.75	0.167	0.948	support	ABILITY_GLUTTONY	Calm	ITEM_BERRY_JUICE	TRUE	Future Sight,Yawn,Slack Off,Rain Dance	315	1	Asserted	wild	0.25	Derived	0.0	NA	FALSE
SPECIES_WAILMER	Wailmer	13	physical_wall	tank	physical_wall:0.6944;tank:0.6671;special_wall:0.636	0.6944	0.5891	0.5137	0.1807	A	0.1053	0.505	0.75	0.333	0.945	support	ABILITY_WATER_VEIL	Calm	ITEM_BERRY_JUICE	TRUE	Water Spout,Rest,Roar,Snowscape	400	4	Asserted	wild	0.3056	Derived	0.0714	ITEM_CHOICE_SPECS	FALSE
SPECIES_SABLEYE	Sableye	13	physical_wall	special_wall	physical_wall:0.6775;special_wall:0.6632;status_spreader:0.6243	0.6775	0.5538	0.5137	0.1638	A	0.1237	0.43	0.75	0.333	0.95	support	ABILITY_FRISK	Calm	ITEM_BERRY_JUICE	TRUE	Poltergeist,Recover,Will-O-Wisp,Sunny Day	380	3	Asserted	wild	0.1806	Derived	0.0623	ITEM_LIFE_ORB	FALSE
SPECIES_VULLABY	Vullaby	13	physical_wall	NA	physical_wall:0.6761;special_wall:0.5941;phazer:0.3346	0.6761	0.2471	0.5137	0.1624	A	0.429	0.599	0.75	0.167	0.896	support	ABILITY_FRISK	Calm	ITEM_BERRY_JUICE	TRUE	Brave Bird,Defog,Whirlwind,Roost	370	1	Asserted	wild	0.2778	Derived	0.0	NA	FALSE
SPECIES_SHELMET	Shelmet	13	physical_wall	special_wall	physical_wall:0.6654;special_wall:0.6385;status_spreader:0.614	0.6654	0.4911	0.5137	0.1517	A	0.1743	0.481	0.75	0.167	0.95	support	ABILITY_HYDRATION	Calm	ITEM_BERRY_JUICE	TRUE	Bug Buzz,Yawn,Recover,Rain Dance	305	7	Asserted	wild	0.3333	Derived	0.0	NA	FALSE
SPECIES_FLETCHINDER	Fletchinder	13	physical_wall	special_wall	physical_wall:0.6484;special_wall:0.6471;status_spreader:0.6231	0.6484	0.4781	0.5137	0.1347	B	0.1703	0.377	0.75	0.333	0.905	support	ABILITY_FLAME_BODY	Calm	ITEM_BERRY_JUICE	TRUE	Overheat,Roost,Defog,Will-O-Wisp	382	2	Derived	evolution:EVO_LEVEL@17:from SPECIES_FLETCHLING	0.3194	Derived	0.0	NA	FALSE
SPECIES_BERGMITE	Bergmite	13	physical_wall	NA	physical_wall:0.6157;weather_terrain_setter:0.4697;special_wall:0.4579	0.6157	0.2359	0.5137	0.102	B	0.3798	0.526	0.75	0.0	0.848	support	ABILITY_OWN_TEMPO	Calm	ITEM_BERRY_JUICE	TRUE	Blizzard,Recover,Roar,Snowscape	304	9	Asserted	wild	0.2222	Derived	0.0	NA	FALSE
SPECIES_PIDGEOTTO	Pidgeotto	13	physical_wall	screens_setter	physical_wall:0.6131;screens_setter:0.5902;special_wall:0.546	0.6131	0.5202	0.5137	0.0994	B	0.0929	0.38	0.75	0.0	0.945	support	ABILITY_FRISK	Calm	ITEM_BERRY_JUICE	TRUE	Brave Bird,Whirlwind,Roost,Reflect	349	2	Derived	evolution:EVO_LEVEL@16:from SPECIES_PIDGEY	0.4722	Derived	0.0	NA	FALSE
SPECIES_SLAKOTH	Slakoth	13	physical_wall	status_spreader	physical_wall:0.604;status_spreader:0.5887;special_wall:0.5506	0.604	0.0	0.5137	0.0903	B	0.604	0.399	0.75	0.0	0.905	support	ABILITY_TRUANT	Calm	ITEM_BERRY_JUICE	TRUE	Body Slam,Yawn,Slack Off,Sunny Day	280	7	Asserted	wild	0.1389	Derived	0.0	NA	FALSE
SPECIES_LOUDRED	Loudred	13	physical_wall	NA	physical_wall:0.5985;special_wall:0.5387;weather_terrain_setter:0.4649	0.5985	0.5137	0.5137	0.0848	B	0.0848	0.415	0.75	0.0	0.878	support	ABILITY_SOUNDPROOF	Calm	ITEM_BERRY_JUICE	TRUE	Hyper Voice,Roar,Rest,Sunny Day	360	2	Derived	evolution:EVO_LEVEL@20:from SPECIES_WHISMUR	0.1389	Derived	0.0	NA	FALSE
SPECIES_NOIBAT	Noibat	13	physical_wall	NA	physical_wall:0.5716;special_wall:0.5185;phazer:0.319	0.5716	0.2315	0.5137	0.0579	C	0.3401	0.05	0.75	0.5	0.848	support	ABILITY_FRISK	Calm	ITEM_BERRY_JUICE	TRUE	Draco Meteor,Roost,Whirlwind,Defog	245	9	Asserted	wild	0.25	Derived	0.0128	ITEM_LIFE_ORB	FALSE
SPECIES_GOLISOPOD	Golisopod	13	priority_abuser	wallbreaker_phys	priority_abuser:0.9586;wallbreaker_phys:0.9219;tank:0.8722	0.9586	0.8119	0.8436	0.115	B	0.1467	0.93	1.0	0.917	0.971	physical	ABILITY_EMERGENCY_EXIT	Adamant	ITEM_WEAKNESS_POLICY	TRUE	First Impression,Liquidation,Close Combat,Leech Life	530	4	Asserted	wild	0.8333	Derived	0.0	NA	FALSE
SPECIES_RAICHU	Raichu	13	priority_abuser	revenge_killer	priority_abuser:0.8424;revenge_killer:0.8225;wallbreaker_phys:0.7911	0.8424	0.6613	0.8436	-0.0012	D	0.1811	0.843	1.0	1.0	0.704	physical	ABILITY_STATIC	Jolly	ITEM_BLACK_BELT	TRUE	Wild Charge,Body Slam,Focus Punch,Extreme Speed	515	1	Derived	evolution:EVO_ITEM:ITEM_THUNDER_STONE	0.3611	Derived	0.0243	ITEM_CHOICE_SPECS	FALSE
SPECIES_DURANT	Durant	13	priority_abuser	revenge_killer	priority_abuser:0.8076;revenge_killer:0.7818;wallbreaker_phys:0.7709	0.8076	0.5271	0.8436	-0.036	D	0.2805	0.864	1.0	0.917	0.635	physical	ABILITY_SWARM	Jolly	ITEM_LIFE_ORB	FALSE	First Impression,Iron Head,Close Combat,X-Scissor	484	11	Derived	wild	0.3056	Derived	0.0	NA	FALSE
SPECIES_LOKIX	Lokix	13	priority_abuser	wallbreaker_phys	priority_abuser:0.786;wallbreaker_phys:0.7494;revenge_killer:0.7306	0.786	0.673	0.8436	-0.0576	D	0.113	0.827	1.0	1.0	0.573	physical	ABILITY_SWARM	Jolly	ITEM_LIFE_ORB	FALSE	First Impression,Sucker Punch,Axe Kick,Lunge	450	7	Derived	evolution:EVO_LEVEL@23:from SPECIES_NYMBLE	0.3056	Derived	0.0	NA	FALSE
SPECIES_SPIDOPS	Spidops	13	priority_abuser	wallbreaker_phys	priority_abuser:0.7052;wallbreaker_phys:0.6685;tank:0.6606	0.7052	0.6106	0.8436	-0.1384	F	0.0946	0.711	1.0	0.833	0.506	physical	ABILITY_INSOMNIA	Careful	ITEM_CHOICE_BAND	FALSE	First Impression,Gunk Shot,Body Slam,Leech Life	419	1	Derived	evolution:EVO_LEVEL@15:from SPECIES_TAROUNTULA	0.25	Derived	0.0	NA	FALSE
SPECIES_GROVYLE	Grovyle	13	priority_abuser	revenge_killer	priority_abuser:0.663;revenge_killer:0.6366;wallbreaker_spec:0.6264	0.663	0.394	0.8436	-0.1806	F	0.269	0.719	1.0	1.0	0.333	special	ABILITY_OVERGROW	Modest	ITEM_CHOICE_SPECS	FALSE	Leaf Storm,Flash,Vacuum Wave,Solar Beam	405	2	Derived	evolution:EVO_LEVEL@16:from SPECIES_TREECKO	0.1944	Derived	0.0	NA	FALSE
SPECIES_SPEAROW	Spearow	13	priority_abuser	revenge_killer	priority_abuser:0.5683;revenge_killer:0.5631;wallbreaker_phys:0.5316	0.5683	0.458	0.8436	-0.2753	F	0.1103	0.34	1.0	1.0	0.333	physical	ABILITY_FRISK	Adamant	ITEM_SHARP_BEAK	TRUE	Sky Attack,Quick Attack,Drill Run,Brave Bird	262	6	Asserted	wild	0.2222	Derived	0.0203	ITEM_CHOICE_BAND	FALSE
SPECIES_APPLIN	Applin	13	priority_abuser	NA	priority_abuser:0.4289;revenge_killer:0.3223	0.4289	0.0	0.8436	-0.4147	F	0.4289	0.131	1.0	1.0	0.115	mixed	ABILITY_RIPEN	Rash	ITEM_BLACK_GLASSES	TRUE	Mega Drain,Dragon Breath,Grassy Glide,Sucker Punch	260	7	Asserted	wild	0.0278	Derived	0.0111	ITEM_LIFE_ORB	FALSE
SPECIES_NYMBLE	Nymble	13	priority_abuser	weather_terrain_setter	priority_abuser:0.3749;weather_terrain_setter:0.3537;revenge_killer:0.3142	0.3749	0.4318	0.8436	-0.4687	F	-0.0569	0.177	1.0	0.667	0.077	support	ABILITY_SWARM	Careful	ITEM_BERRY_JUICE	TRUE	First Impression,Rain Dance,Bug Buzz,Leech Life	210	7	Asserted	wild	0.0972	Derived	0.098	ITEM_LIFE_ORB	FALSE
SPECIES_CHEWTLE	Chewtle	13	regen_pivot	NA	regen_pivot:0.4523	0.4523	0.3871	0.601	-0.1487	F	0.0652	0.238	0.6	0.333	0.551	support	ABILITY_STRONG_JAW	Calm	ITEM_BERRY_JUICE	TRUE	Hydro Pump,Surf,Liquidation,Flip Turn	284	1	Asserted	wild	0.0833	Derived	0.1188	ITEM_CHOICE_BAND	FALSE
SPECIES_NINJASK	Ninjask	13	revenge_killer	NA	revenge_killer:0.9058;priority_abuser:0.8346;wallbreaker_phys:0.7979	0.9058	0.5504	0.7825	0.1233	B	0.3554	1.0	1.0	1.0	0.765	physical	ABILITY_SPEED_BOOST	Adamant	ITEM_CHOICE_BAND	FALSE	First Impression,Fly,Dig,X-Scissor	456	2	Derived	evolution:EVO_LEVEL_NINJASK@20:from SPECIES_NINCADA	0.3611	Derived	0.0	NA	TRUE
SPECIES_IRON_BUNDLE	Iron Bundle	13	revenge_killer	NA	revenge_killer:0.8094;tank:0.5582	0.8094	0.6941	0.7825	0.0269	C	0.1153	0.992	0.4	0.917	0.86	special	ABILITY_QUARK_DRIVE	Timid	ITEM_CHOICE_SPECS	FALSE	Blizzard,Hydro Pump,Ice Beam,Surf	570	15	Asserted	wild	0.4167	Derived	0.0	NA	FALSE
SPECIES_PACHIRISU	Pachirisu	13	revenge_killer	NA	revenge_killer:0.7964;speed_control:0.7414;status_spreader:0.7114	0.7964	0.4399	0.7825	0.0139	C	0.3565	0.826	0.4	0.917	0.931	support	ABILITY_PRANKSTER	Calm	ITEM_BERRY_JUICE	TRUE	Thunder,Reflect,Light Screen,Thunder Wave	425	9	Asserted	wild	0.3056	Derived	0.0	NA	FALSE
SPECIES_CHIEN_PAO	Chien-Pao	13	revenge_killer	NA	revenge_killer:0.7832;tank:0.4781	0.7832	0.7104	0.7825	0.0007	C	0.0728	0.989	0.4	1.0	0.765	physical	ABILITY_SWORD_OF_RUIN	Jolly	ITEM_LIFE_ORB	FALSE	Icicle Crash,Throat Chop,Sacred Sword,Ice Spinner	570	16	Asserted	wild	0.3889	Derived	0.0	NA	FALSE
SPECIES_FEAROW	Fearow	13	revenge_killer	priority_abuser	revenge_killer:0.7772;priority_abuser:0.7756;wallbreaker_phys:0.7389	0.7772	0.7071	0.7825	-0.0053	D	0.0701	0.952	0.8	1.0	0.573	physical	ABILITY_FRISK	Jolly	ITEM_SHARP_BEAK	TRUE	Brave Bird,Quick Attack,Drill Run,Fly	467	6	Derived	evolution:EVO_LEVEL@20:from SPECIES_SPEAROW	0.3056	Derived	0.0522	ITEM_CHOICE_BAND	FALSE
SPECIES_VOLTORB	Voltorb	13	revenge_killer	NA	revenge_killer:0.7569;speed_control:0.6872;status_spreader:0.6572	0.7569	0.3185	0.7825	-0.0256	D	0.4384	0.854	0.4	0.917	0.815	support	ABILITY_SOUNDPROOF	Calm	ITEM_BERRY_JUICE	TRUE	Thunder,Light Screen,Reflect,Thunder Wave	330	6	Asserted	wild	0.25	Derived	0.0	NA	FALSE
SPECIES_PIKACHU	Pikachu	13	revenge_killer	speed_control	revenge_killer:0.719;speed_control:0.6811;status_spreader:0.6511	0.719	0.5158	0.7825	-0.0635	D	0.2032	0.784	0.4	0.917	0.764	support	ABILITY_STATIC	Calm	ITEM_BERRY_JUICE	TRUE	Thunder,Thunder Wave,Light Screen,Reflect	320	1	Inferred	evolution:EVO_FRIENDSHIP:0:from SPECIES_PICHU	0.2222	Derived	0.0	NA	FALSE
SPECIES_SHARPEDO_MEGA	Sharpedo-Mega	13	revenge_killer	NA	revenge_killer:0.6834;tank:0.6311	0.6834	0.7221	0.7825	-0.0991	D	-0.0387	0.901	0.133	1.0	0.704	physical	ABILITY_STRONG_JAW	Adamant	ITEM_CHOICE_BAND	FALSE	Liquidation,Crunch,Skull Bash,Waterfall	560	4	Inferred	mega/primal form of SPECIES_SHARPEDO (stone not resolved)	0.3333	Derived	0.0	NA	FALSE
SPECIES_TAILLOW	Taillow	13	revenge_killer	NA	revenge_killer:0.624;priority_abuser:0.5591;wallbreaker_phys:0.5224	0.624	0.0	0.7825	-0.1585	F	0.624	0.745	0.733	0.917	0.384	physical	ABILITY_GUTS	Jolly	ITEM_METAL_COAT	TRUE	Sky Attack,Quick Attack,Steel Wing,Brave Bird	270	6	Asserted	wild	0.25	Derived	0.0	ITEM_CHOICE_BAND	FALSE
SPECIES_DRIZZILE	Drizzile	13	revenge_killer	NA	revenge_killer:0.6141;speed_control:0.479	0.6141	0.4915	0.7825	-0.1684	F	0.1226	0.784	0.133	0.917	0.635	special	ABILITY_TORRENT	Timid	ITEM_LIFE_ORB	FALSE	Surf,Icy Wind,Weather Ball,Water Pulse	420	2	Derived	evolution:EVO_LEVEL@16:from SPECIES_SOBBLE	0.2778	Derived	0.0	NA	FALSE
SPECIES_SHARPEDO	Sharpedo	13	revenge_killer	NA	revenge_killer:0.6126	0.6126	0.6431	0.7825	-0.1699	F	-0.0305	0.826	0.133	1.0	0.573	physical	ABILITY_ROUGH_SKIN	Adamant	ITEM_CHOICE_BAND	FALSE	Liquidation,Crunch,Skull Bash,Waterfall	460	4	Asserted	wild	0.3056	Derived	0.0	NA	FALSE
SPECIES_DREEPY	Dreepy	13	revenge_killer	priority_abuser	revenge_killer:0.5668;priority_abuser:0.5354;phazer:0.241	0.5668	0.4983	0.7825	-0.2157	F	0.0685	0.732	0.667	1.0	0.251	support	ABILITY_CLEAR_BODY	Careful	ITEM_BERRY_JUICE	TRUE	Dragon Tail,Sucker Punch,Astonish,Bite	270	7	Asserted	wild	0.1111	Derived	0.0908	ITEM_LIFE_ORB	FALSE
SPECIES_MEOWTH_ALOLA	Meowth-Alola	13	revenge_killer	status_spreader	revenge_killer:0.5367;status_spreader:0.4882;weather_terrain_setter:0.4432	0.5367	0.5109	0.7825	-0.2458	F	0.0258	0.784	0.067	0.833	0.506	support	ABILITY_PICKUP	Calm	ITEM_BERRY_JUICE	TRUE	Foul Play,Rain Dance,Hypnosis,Dark Pulse	280	1	Asserted	wild	0.1944	Derived	0.0	NA	FALSE
SPECIES_UNOWN	Unown	13	revenge_killer	NA	revenge_killer:0.5285	0.5285	0.4315	0.7825	-0.254	F	0.097	0.843	0.133	0.917	0.384	special	ABILITY_LEVITATE	Modest	ITEM_CHOICE_SPECS	FALSE	Mystical Power,Hidden Power,Ancient Power	384	9	Asserted	wild	0.2222	Derived	0.0	NA	FALSE
